variant,brand,notes,image url
Escale En Haiti Eau De Cologne,Les Indemodables,"[{""id"": 24, ""nama"": ""pink pepper""}, {""id"": 169, ""nama"": ""juniper""}, {""id"": 170, ""nama"": ""haitian vetiver""}, {""id"": 142, ""nama"": ""tonka bean""}, {""id"": 171, ""nama"": ""myrhh""}]",https://static.luckyscent.com/images/products/827008.jpg?width=400&404=product.png
Escale En Indonesie Eau De Cologne,Les Indemodables,"[{""id"": 35, ""nama"": ""bergamot""}, {""id"": 172, ""nama"": ""lemon""}, {""id"": 39, ""nama"": ""neroli""}, {""id"": 173, ""nama"": ""indonesian ambergris""}, {""id"": 8, ""nama"": ""jasmine""}, {""id"": 32, ""nama"": ""sandalwood""}]",https://static.luckyscent.com/images/products/827009.jpg?width=400&404=product.png
Zeste de Gingembre Eau de Parfum,HEELEY,"[{""id"": 172, ""nama"": ""lemon""}, {""id"": 174, ""nama"": ""lime""}, {""id"": 175, ""nama"": ""orange zest""}, {""id"": 176, ""nama"": ""fresh ginger""}, {""id"": 24, ""nama"": ""pink pepper""}, {""id"": 86, ""nama"": ""cardamom""}]",https://static.luckyscent.com/images/products/31528.jpg?width=400&404=product.png
Haute Provence Eau de Parfum,Parle Moi de Parfum,"[{""id"": 3, ""nama"": ""lavender""}, {""id"": 177, ""nama"": ""melon""}, {""id"": 178, ""nama"": ""watermelon""}, {""id"": 179, ""nama"": ""narcissus""}]",https://static.luckyscent.com/images/products/767015.jpg?width=400&404=product.png
Escentric 05 - Travel Spray Eau de Toilette,Escentric Molecules,"[{""id"": 133, ""nama"": ""fig""}, {""id"": 35, ""nama"": ""bergamot""}, {""id"": 180, ""nama"": ""orange""}, {""id"": 181, ""nama"": ""laurel""}, {""id"": 164, ""nama"": ""rosemary""}, {""id"": 169, ""nama"": ""juniper""}, {""id"": 182, ""nama"": ""basil""}, {""id"": 183, ""nama"": ""hedione""}, {""id"": 145, ""nama"": ""cypress""}, {""id"": 184, ""nama"": ""freesia""}, {""id"": 122, ""nama"": ""iris""}, {""id"": 8, ""nama"": ""jasmine""}, {""id"": 185, ""nama"": ""cashmeran""}, {""id"": 186, ""nama"": ""cistus labdanum""}, {""id"": 187, ""nama"": ""musc""}, {""id"": 62, ""nama"": ""ambroxan""}, {""id"": 188, ""nama"": ""mastic""}, {""id"": 189, ""nama"": ""iso e super""}]",https://static.luckyscent.com/images/products/30861.jpg?width=400&404=product.png
1979 New Wave Eau de Parfum,Les Bains Guerbois,"[{""id"": 190, ""nama"": ""peppermint""}, {""id"": 191, ""nama"": ""spearmint""}, {""id"": 192, ""nama"": ""aldehydes""}, {""id"": 193, ""nama"": ""orris concrete""}, {""id"": 194, ""nama"": ""virginia cedar""}, {""id"": 195, ""nama"": ""australian sandalwood""}, {""id"": 2, ""nama"": ""musk""}, {""id"": 196, ""nama"": ""amber wood""}]",https://static.luckyscent.com/images/products/797009.jpg?width=400&404=product.png
2018 Roxo Tonic Eau de Parfum,Les Bains Guerbois,"[{""id"": 197, ""nama"": ""calabrian bergamot""}, {""id"": 198, ""nama"": ""calabrian lemon""}, {""id"": 94, ""nama"": ""ginger""}, {""id"": 199, ""nama"": ""french gentian""}, {""id"": 200, ""nama"": ""tunisian neroli""}, {""id"": 201, ""nama"": ""tea""}, {""id"": 170, ""nama"": ""haitian vetiver""}, {""id"": 62, ""nama"": ""ambroxan""}, {""id"": 2, ""nama"": ""musk""}]",https://static.luckyscent.com/images/products/797008.jpg?width=400&404=product.png
Sel d'Argent Eau de Parfum,BDK Parfums,"[{""id"": 202, ""nama"": ""italian bergamot""}, {""id"": 110, ""nama"": ""grapefruit""}, {""id"": 203, ""nama"": ""salt accord""}, {""id"": 204, ""nama"": ""orange blossom absolute from tunisia""}, {""id"": 205, ""nama"": ""ylang-ylang essence from madagascar""}, {""id"": 206, ""nama"": ""galbanum essence from iran""}, {""id"": 62, ""nama"": ""ambroxan""}, {""id"": 185, ""nama"": ""cashmeran""}, {""id"": 207, ""nama"": ""timbersilk""}, {""id"": 149, ""nama"": ""white musk""}]",https://static.luckyscent.com/images/products/856011.jpg?width=400&404=product.png
Citrus Riviera Eau de Parfum,BDK Parfums,"[{""id"": 208, ""nama"": ""moroccan neroli""}, {""id"": 209, ""nama"": ""italian mandarin""}, {""id"": 210, ""nama"": ""italian lemon""}, {""id"": 133, ""nama"": ""fig""}, {""id"": 211, ""nama"": ""moroccan orange blossom absolute jasmine""}, {""id"": 212, ""nama"": ""strawberry""}, {""id"": 105, ""nama"": ""eucalyptus""}, {""id"": 213, ""nama"": ""everlasting flower absolute""}, {""id"": 214, ""nama"": ""patchouli from indonesia""}, {""id"": 215, ""nama"": ""vetiver from haiti""}, {""id"": 216, ""nama"": ""tonka bean absolute""}]",https://static.luckyscent.com/images/products/856012.jpg?width=400&404=product.png
Smoke Show Eau de Parfum,Vilhelm Parfumerie,"[{""id"": 24, ""nama"": ""pink pepper""}, {""id"": 67, ""nama"": ""saffron""}, {""id"": 217, ""nama"": ""rose oil""}, {""id"": 26, ""nama"": ""leather""}, {""id"": 18, ""nama"": ""vetiver""}, {""id"": 218, ""nama"": ""cedarwood""}, {""id"": 22, ""nama"": ""agarwood""}]",https://static.luckyscent.com/images/products/858000.jpg?width=400&404=product.png
Do Not Disturb Eau de Parfum,Vilhelm Parfumerie,"[{""id"": 24, ""nama"": ""pink pepper""}, {""id"": 219, ""nama"": ""carrot""}, {""id"": 122, ""nama"": ""iris""}, {""id"": 220, ""nama"": ""jasmine petals""}, {""id"": 62, ""nama"": ""ambroxan""}, {""id"": 21, ""nama"": ""patchouli""}, {""id"": 221, ""nama"": ""white musks""}]",https://static.luckyscent.com/images/products/858001.jpg?width=400&404=product.png
Room Service Eau de Parfum,Vilhelm Parfumerie,"[{""id"": 222, ""nama"": ""mandarin nectar""}, {""id"": 143, ""nama"": ""blackberry""}, {""id"": 223, ""nama"": ""pink orchid""}, {""id"": 224, ""nama"": ""bamboo""}, {""id"": 27, ""nama"": ""violet""}, {""id"": 225, ""nama"": ""black amber""}, {""id"": 2, ""nama"": ""musk""}, {""id"": 32, ""nama"": ""sandalwood""}]",https://static.luckyscent.com/images/products/858002.jpg?width=400&404=product.png
Purple Fig Eau de Parfum,Vilhelm Parfumerie,"[{""id"": 226, ""nama"": ""sichuan pepper""}, {""id"": 227, ""nama"": ""angelica seeds""}, {""id"": 97, ""nama"": ""galbanum""}, {""id"": 228, ""nama"": ""green fig""}, {""id"": 229, ""nama"": ""jasmine absolute""}, {""id"": 18, ""nama"": ""vetiver""}, {""id"": 230, ""nama"": ""cashmere woods""}]",https://static.luckyscent.com/images/products/858003.jpg?width=400&404=product.png
Basilico & Fellini Eau de Parfum,Vilhelm Parfumerie,"[{""id"": 231, ""nama"": ""dragon fruit""}, {""id"": 182, ""nama"": ""basil""}, {""id"": 27, ""nama"": ""violet""}, {""id"": 232, ""nama"": ""wild fig""}, {""id"": 18, ""nama"": ""vetiver""}, {""id"": 233, ""nama"": ""green hay""}]",https://static.luckyscent.com/images/products/858004.jpg?width=400&404=product.png
Poets of Berlin Eau de Parfum,Vilhelm Parfumerie,"[{""id"": 234, ""nama"": ""blueberry""}, {""id"": 172, ""nama"": ""lemon""}, {""id"": 30, ""nama"": ""vanilla""}, {""id"": 235, ""nama"": ""green wild orris""}, {""id"": 32, ""nama"": ""sandalwood""}, {""id"": 18, ""nama"": ""vetiver""}]",https://static.luckyscent.com/images/products/858005.jpg?width=400&404=product.png
Morning Chess Eau de Parfum,Vilhelm Parfumerie,"[{""id"": 35, ""nama"": ""bergamot""}, {""id"": 236, ""nama"": ""tuscan leather""}, {""id"": 97, ""nama"": ""galbanum""}, {""id"": 21, ""nama"": ""patchouli""}, {""id"": 225, ""nama"": ""black amber""}]",https://static.luckyscent.com/images/products/858006.jpg?width=400&404=product.png
Mango Skin Eau de Parfum,Vilhelm Parfumerie,"[{""id"": 237, ""nama"": ""blackberries""}, {""id"": 238, ""nama"": ""mango""}, {""id"": 58, ""nama"": ""black pepper""}, {""id"": 239, ""nama"": ""wild orris""}, {""id"": 240, ""nama"": ""black lotus""}, {""id"": 8, ""nama"": ""jasmine""}, {""id"": 21, ""nama"": ""patchouli""}, {""id"": 30, ""nama"": ""vanilla""}, {""id"": 241, ""nama"": ""pink sugar""}]",https://static.luckyscent.com/images/products/858007.jpg?width=400&404=product.png
Dear Polly Eau de Parfum,Vilhelm Parfumerie,"[{""id"": 35, ""nama"": ""bergamot""}, {""id"": 242, ""nama"": ""apple""}, {""id"": 243, ""nama"": ""ceylon black tea""}, {""id"": 34, ""nama"": ""oakmoss""}, {""id"": 2, ""nama"": ""musk""}, {""id"": 225, ""nama"": ""black amber""}]",https://static.luckyscent.com/images/products/858008.jpg?width=400&404=product.png
Black Citrus Eau de Parfum,Vilhelm Parfumerie,"[{""id"": 86, ""nama"": ""cardamom""}, {""id"": 244, ""nama"": ""calabria bergamot""}, {""id"": 245, ""nama"": ""mate leaves""}, {""id"": 27, ""nama"": ""violet""}, {""id"": 246, ""nama"": ""birch""}, {""id"": 247, ""nama"": ""indonesian patchouli""}]",https://static.luckyscent.com/images/products/858009.jpg?width=400&404=product.png
Lil Fleur Eau de Parfum,BYREDO,"[{""id"": 67, ""nama"": ""saffron""}, {""id"": 248, ""nama"": ""cassis""}, {""id"": 23, ""nama"": ""tangerine""}, {""id"": 26, ""nama"": ""leather""}, {""id"": 249, ""nama"": ""damascena rose""}, {""id"": 31, ""nama"": ""amber""}, {""id"": 250, ""nama"": ""blonde woods""}, {""id"": 30, ""nama"": ""vanilla""}]",https://static.luckyscent.com/images/products/641207.jpg?width=400&404=product.png
Kurokami Parfum,Di Ser,"[{""id"": 110, ""nama"": ""grapefruit""}, {""id"": 251, ""nama"": ""rose absolute""}, {""id"": 252, ""nama"": ""rose otto""}, {""id"": 253, ""nama"": ""jasmine grandiflorum""}, {""id"": 17, ""nama"": ""rosewood""}, {""id"": 32, ""nama"": ""sandalwood""}, {""id"": 9, ""nama"": ""frankincense""}]",https://static.luckyscent.com/images/products/788010.jpg?width=400&404=product.png
Bouquet de Hongrie Eau de Parfum,BDK Parfums,"[{""id"": 139, ""nama"": ""pear""}, {""id"": 254, ""nama"": ""blackcurrant""}, {""id"": 212, ""nama"": ""strawberry""}, {""id"": 255, ""nama"": ""rose of turkey""}, {""id"": 256, ""nama"": ""sambac jasmine""}, {""id"": 257, ""nama"": ""lorenox""}, {""id"": 2, ""nama"": ""musk""}, {""id"": 153, ""nama"": ""cedar""}, {""id"": 31, ""nama"": ""amber""}]",https://static.luckyscent.com/images/products/856000.jpg?width=400&404=product.png
